Date,7-day-moving-avg,prior_year_7d_moving_avg,Delta Change
08-11-22 0:00,4095024.429,3030572,0.351238126
20-07-22 0:00,4503764.714,3332216.714,0.351582175
23-02-22 0:00,3913018.286,2876825,0.360186416
25-03-22 0:00,4449203.857,3250202.571,0.368900479
02-02-22 0:00,4125582.429,3011284.857,0.370040572
18-07-22 0:00,4351453.143,3151629.571,0.380699427
30-01-22 0:00,4088397.857,2957764.143,0.382259592
21-02-22 0:00,4109437.571,2967730.714,0.384707026
11-03-22 0:00,4197727.714,3023337.571,0.38844162
29-01-22 0:00,3904114.857,2804962.429,0.391859947
15-03-22 0:00,4266278.571,3064585,0.392122774
31-03-22 0:00,3824817.143,2738238.857,0.396816473
31-08-22 0:00,4615423.857,3299291.714,0.398913542
24-02-22 0:00,3891123.571,2774976.714,0.402218459
14-02-22 0:00,4244980.429,3021736.429,0.404814923
13-02-22 0:00,4073184.571,2893728.286,0.407590544
03-05-22 0:00,4062845.286,2884569.714,0.408475332
07-03-22 0:00,4088872,2901431.857,0.409260049
01-09-22 0:00,4754664.429,3355842.286,0.416831908
11-02-22 0:00,4073061.286,2871583.571,0.41840249
29-03-22 0:00,4106400.286,2881530.571,0.425076078
05-05-22 0:00,3782185.143,2652740.714,0.425765105
04-05-22 0:00,3908318.143,2730265.714,0.43147904
06-03-22 0:00,4016039.571,2799037.714,0.434792947
08-03-22 0:00,4269164.571,2968900.286,0.437961588
14-03-22 0:00,4309467.857,2990927,0.440846887
13-03-22 0:00,4242233.714,2936860.857,0.444478959
22-02-22 0:00,4030472,2779474.143,0.450084366
28-01-22 0:00,3834320.143,2642303.571,0.451127791
28-03-22 0:00,4324903.714,2911978.286,0.485211526
27-03-22 0:00,4446185.857,2993547.714,0.485256385
25-02-22 0:00,4005611.857,2695504.429,0.486034233
26-03-22 0:00,4531361,3020952.571,0.499977538
09-03-22 0:00,4447955.143,2926221.143,0.520033834
17-01-22 0:00,3689177,2414917.286,0.527661846
26-02-22 0:00,3986865.857,2606009,0.52987417
01-03-22 0:00,3810038.429,2480111.286,0.536236882
04-03-22 0:00,3974378.286,2584269.143,0.537911907
28-02-22 0:00,3825913.286,2451795.714,0.560453534
10-03-22 0:00,4215416.857,2699778.857,0.561393388
05-03-22 0:00,4074287.571,2593357.857,0.571047189
02-03-22 0:00,3785735,2358758.857,0.604969066
27-02-22 0:00,4028573.429,2508962,0.605673354
03-03-22 0:00,4060219.429,2513127.857,0.615604004
06-01-22 0:00,3586839.143,2187818.571,0.639459135
05-01-22 0:00,3809982.286,2241692.571,0.69960071
16-01-22 0:00,3633533.143,2128970.286,0.706709186
02-01-22 0:00,3512302.571,2015006.143,0.743072885
08-01-22 0:00,3850334.857,2199440.429,0.750597473
07-01-22 0:00,3782035.857,2145142,0.763070164
04-01-22 0:00,3892426.571,2159838.429,0.802184144
03-01-22 0:00,3756191.857,2038955.429,0.842213814
09-01-22 0:00,4078059.571,2187636.143,0.864139786
01-01-22 0:00,3669590.286,1920326.429,0.910920055
15-01-22 0:00,3783741,1963189.857,0.927343393
10-01-22 0:00,3961611.429,2007482.857,0.973422296
11-01-22 0:00,3933051.714,1927893,1.040077802
14-01-22 0:00,3885045.143,1831803.857,1.120884902
13-01-22 0:00,3965068.429,1863101.286,1.128208734
12-01-22 0:00,3902057.571,1800931.571,1.166688415
